away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-1-0,0.0,0,0-1-0,0.0,0,loss
1-0-0,1.0,0,0-1-0,0.0,0,win
1-0-0,1.0,0,0-1-0,0.0,0,loss
0-1-0,0.0,0,1-0-0,1.0,0,loss
1-0-0,1.0,0,1-0-0,1.0,1.0,win
0-1-0,0.0,0.0,1-0-0,1.0,0,win
0-1-0,0.0,0,1-0-0,1.0,0,win
1-0-0,1.0,1.0,1-0-0,1.0,0,win
0-1-0,0.0,0,0-1-0,0.0,0.0,loss
1-0-0,1.0,1.0,0-1-0,0.0,0.0,win
1-0-0,1.0,0,0-1-0,0.0,0,win
0-1-0,0.0,0,1-0-0,1.0,1.0,win
0-1-0,0.0,0,1-0-0,1.0,0,loss
0-1-0,0.0,0,0-1-0,0.0,0,win
1-0-0,1.0,1.0,1-0-0,1.0,0,win
1-0-0,1.0,0,0-1-0,0.0,0,loss
2-0-0,1.0,0,2-0-0,1.0,1.0,win
1-1-0,0.5,0,0-2-0,0.0,0.0,win
2-0-0,1.0,1.0,1-1-0,0.5,1.0,loss
2-0-0,1.0,0,1-1-0,0.5,0,loss
1-1-0,0.5,1.0,1-1-0,0.5,0,win
2-0-0,1.0,1.0,0-2-0,0.0,0.0,loss
0-2-0,0.0,0.0,0-2-0,0.0,0,win
0-2-0,0.0,0,2-0-0,1.0,1.0,loss
