away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,UNK
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,win
0-1-0,0.0,0,0-1-0,0.0,0.0,loss
0-1-0,0.0,0,1-0-0,1.0,0,win
1-0-0,1.0,0,1-0-0,1.0,0,win
0-1-0,0.0,0.0,0-1-0,0.0,0,loss
0-1-0,0.0,0,1-0-0,1.0,0,loss
1-0-0,1.0,1.0,1-0-0,1.0,0,win
0-1-0,0.0,0,0-1-0,0.0,0,loss
1-0-0,1.0,0,1-0-0,1.0,0,win
0-1-0,0.0,0,0-0-0,0,0,win
0-0-0,0,0,0-1-0,0.0,0,loss
0-1-0,0.0,0.0,1-0-0,1.0,0,win
1-0-0,1.0,0,1-0-0,1.0,1.0,win
0-1-0,0.0,0,1-0-0,1.0,1.0,loss
0-1-0,0.0,0,0-1-0,0.0,0,win
1-0-0,1.0,0,1-0-0,1.0,0,win
1-0-0,1.0,0,0-1-0,0.0,0,loss
1-1-0,0.5,0,0-2-0,0.0,0.0,loss
2-0-0,1.0,1.0,1-1-0,0.5,0.0,win
2-0-0,1.0,0,1-1-0,0.5,1.0,win
0-2-0,0.0,0.0,2-0-0,1.0,1.0,loss
2-0-0,1.0,1.0,0-2-0,0.0,0.0,win
2-0-0,1.0,1.0,2-0-0,1.0,1.0,loss
0-2-0,0.0,0.0,0-2-0,0.0,0.0,win
1-0-0,1.0,0,1-1-0,0.5,1.0,win
1-1-0,0.5,1.0,1-1-0,0.5,0.0,win
1-0-0,1.0,1.0,0-2-0,0.0,0,win
0-2-0,0.0,0.0,1-1-0,0.5,0,win
1-1-0,0.5,0.0,1-1-0,0.5,0.0,win
0-2-0,0.0,0,1-1-0,0.5,1.0,win
2-0-0,1.0,1.0,0-2-0,0.0,0.0,loss
2-0-0,1.0,1.0,1-1-0,0.5,0.0,win
1-1-0,0.5,0.0,1-1-0,0.5,0,loss
1-2-0,0.333,0.0,2-1-0,0.667,1.0,win
1-2-0,0.333,0.5,1-1-0,0.5,0,loss
2-1-0,0.667,0.0,3-0-0,1.0,1.0,loss
2-1-0,0.667,0.5,2-1-0,0.667,1.0,loss
0-3-0,0.0,0.0,0-3-0,0.0,0.0,loss
2-1-0,0.667,1.0,2-1-0,0.667,1.0,loss
2-1-0,0.667,1.0,1-2-0,0.333,0.0,win
2-1-0,0.667,1.0,2-1-0,0.667,1.0,loss
2-1-0,0.667,1.0,2-1-0,0.667,0.5,loss
2-1-0,0.667,1.0,1-2-0,0.333,1.0,win
0-3-0,0.0,0.0,1-2-0,0.333,0.0,win
2-1-0,0.667,0.5,0-3-0,0.0,0.0,loss
0-3-0,0.0,0.0,1-1-0,0.5,1.0,win
2-1-0,0.667,0.5,2-1-0,0.667,1.0,win
1-2-0,0.333,0.0,1-2-0,0.333,1.0,win
2-1-0,0.667,1.0,3-0-0,1.0,1.0,win
2-2-0,0.5,1.0,2-1-0,0.667,1.0,loss
3-1-0,0.75,0.5,1-3-0,0.25,0.0,win
2-2-0,0.5,0.0,0-4-0,0.0,0.0,loss
3-1-0,0.75,1.0,3-1-0,0.75,0.5,loss
0-4-0,0.0,0.0,1-3-0,0.25,0.5,win
2-2-0,0.5,0.5,1-2-0,0.333,0.0,win
0-4-0,0.0,0.0,0-4-0,0.0,0.0,loss
2-2-0,0.5,0.5,3-1-0,0.75,1.0,win
2-2-0,0.5,0.5,3-1-0,0.75,1.0,loss
2-2-0,0.5,0.0,3-1-0,0.75,0.5,loss
2-2-0,0.5,0.5,2-2-0,0.5,1.0,loss
3-1-0,0.75,0.0,2-2-0,0.5,0.5,loss
4-0-0,1.0,1.0,2-2-0,0.5,0.5,loss
2-2-0,0.5,0.0,1-3-0,0.25,0.5,loss
4-1-0,0.8,0.667,4-1-0,0.8,0.5,loss
2-2-0,0.5,0.5,3-1-0,0.75,0.5,loss
1-4-0,0.2,0.0,3-2-0,0.6,0.5,loss
0-5-0,0.0,0.0,2-3-0,0.4,0.333,win
4-1-0,0.8,0.5,3-2-0,0.6,0.667,win
3-2-0,0.6,1.0,2-2-0,0.5,0.0,win
3-2-0,0.6,1.0,3-2-0,0.6,1.0,loss
0-5-0,0.0,0.0,2-2-0,0.5,0.5,win
2-2-0,0.5,0.0,2-3-0,0.4,0.5,win
3-2-0,0.6,1.0,3-2-0,0.6,0.5,loss
3-2-0,0.6,0.667,5-0-0,1.0,1.0,loss
1-4-0,0.2,0.5,2-3-0,0.4,0.5,loss
0-5-0,0.0,0.0,3-1-0,0.75,1.0,loss
2-3-0,0.4,0.0,2-3-0,0.4,0.5,win
5-1-0,0.833,1.0,2-4-0,0.333,0.333,win
2-3-0,0.4,0.0,3-2-0,0.6,1.0,win
4-2-0,0.667,1.0,2-4-0,0.333,0.333,win
3-3-0,0.5,0.333,0-6-0,0.0,0.0,loss
3-2-0,0.6,0.667,4-2-0,0.667,1.0,loss
3-3-0,0.5,0.667,2-4-0,0.333,0.667,loss
3-3-0,0.5,0.333,4-2-0,0.667,0.333,win
3-3-0,0.5,0.333,3-2-0,0.6,0.5,win
3-3-0,0.5,0.667,4-2-0,0.667,0.75,win
2-3-0,0.4,0.5,4-2-0,0.667,0.5,win
2-3-0,0.4,0.5,0-6-0,0.0,0.0,loss
